epoch,train_loss,train_acc,val_loss,val_acc,best_acc
1,0.692247,0.522495,0.69237,0.5,0.5
2,0.639307,0.646217,0.835886,0.605,0.605
3,0.640751,0.664622,0.674624,0.615,0.615
4,0.624964,0.664622,0.693158,0.625,0.625
5,0.62418,0.668712,0.651107,0.61,0.625
6,0.598892,0.697342,0.769676,0.6175,0.625
7,0.599037,0.700409,0.69802,0.61,0.625
8,0.597476,0.684049,0.715147,0.615,0.625
9,0.59853,0.686094,0.807099,0.6375,0.6375
10,0.584399,0.700409,0.680244,0.6325,0.6375
11,0.550731,0.726994,0.643622,0.655,0.655
12,0.56053,0.714724,0.689672,0.68,0.68
13,0.544079,0.724949,0.648687,0.6875,0.6875
14,0.518593,0.759714,0.616858,0.6825,0.6875
15,0.495625,0.770961,0.58944,0.7275,0.7275
16,0.518686,0.753579,0.600512,0.7275,0.7275
17,0.441318,0.799591,0.615492,0.71,0.7275
18,0.488435,0.773006,0.513343,0.7525,0.7525
19,0.434947,0.805726,0.521924,0.75,0.7525
20,0.41371,0.815951,0.480688,0.795,0.795
21,0.395741,0.820041,0.470561,0.7875,0.795
22,0.380959,0.827198,0.460147,0.79,0.795
23,0.325632,0.860941,0.638509,0.7875,0.795
24,0.360857,0.845603,0.502764,0.765,0.795
25,0.322501,0.868098,0.476128,0.775,0.795
26,0.279457,0.869121,0.409471,0.835,0.835
27,0.306302,0.869121,0.551308,0.7925,0.835
28,0.298457,0.876278,0.563192,0.755,0.835
29,0.329347,0.860941,0.391008,0.825,0.835
30,0.26511,0.885481,0.407662,0.8275,0.835
31,0.258993,0.897751,0.445065,0.8075,0.835
32,0.25282,0.897751,0.343201,0.85,0.85
33,0.223092,0.911043,0.661602,0.7775,0.85
34,0.246483,0.908998,0.698799,0.775,0.85
35,0.229485,0.913088,0.433219,0.8375,0.85
36,0.224776,0.911043,0.433787,0.8325,0.85
37,0.286224,0.869121,0.361456,0.8425,0.85
38,0.219743,0.91002,0.345398,0.86,0.86
39,0.201204,0.916155,0.407807,0.8325,0.86
40,0.209218,0.9182,0.372753,0.8525,0.86
41,0.176712,0.929448,0.507932,0.8125,0.86
42,0.209839,0.913088,0.40265,0.8375,0.86
43,0.207844,0.919223,0.335238,0.88,0.88
44,0.185738,0.940695,0.519118,0.835,0.88
45,0.170185,0.93456,0.408774,0.865,0.88
46,0.158959,0.943763,0.386305,0.86,0.88
47,0.177834,0.92229,0.34782,0.8725,0.88
48,0.120657,0.95092,0.331463,0.8825,0.8825
49,0.140728,0.945808,0.343934,0.8725,0.8825
50,0.14512,0.945808,0.390488,0.8425,0.8825
51,0.123838,0.948875,0.509688,0.8475,0.8825
52,0.131474,0.948875,0.542074,0.835,0.8825
53,0.158787,0.943763,0.443923,0.85,0.8825
54,0.122465,0.951943,0.355156,0.8675,0.8825
55,0.12855,0.952965,0.36227,0.8675,0.8825
56,0.187776,0.933538,0.255265,0.9,0.9
57,0.114034,0.96319,0.42798,0.865,0.9
58,0.133001,0.958078,0.360336,0.88,0.9
59,0.118104,0.9591,0.498943,0.8525,0.9
60,0.103456,0.962168,0.359172,0.8725,0.9
61,0.130915,0.95092,0.30481,0.87,0.9
62,0.102172,0.964213,0.569895,0.825,0.9
63,0.109645,0.961145,0.315915,0.8775,0.9
64,0.072653,0.972393,0.304721,0.8775,0.9
65,0.111393,0.960123,0.327508,0.8775,0.9
66,0.095839,0.960123,0.258516,0.9,0.9
