epoch,train_loss,train_acc,val_loss,val_acc,best_acc
1,0.525537,0.805687,0.435649,0.8525,0.8525
2,0.502125,0.812796,0.451802,0.84,0.8525
3,0.536832,0.78673,0.445785,0.8475,0.8525
4,0.502505,0.815166,0.430473,0.86,0.86
5,0.513764,0.800948,0.425644,0.865,0.865
6,0.510287,0.829384,0.429069,0.855,0.865
7,0.484592,0.824645,0.450064,0.8325,0.865
8,0.532716,0.810427,0.428227,0.86,0.865
9,0.513924,0.824645,0.442068,0.845,0.865
10,0.484475,0.819905,0.434669,0.855,0.865
11,0.505017,0.824645,0.444939,0.8425,0.865
12,0.485856,0.817536,0.423216,0.865,0.865
13,0.520915,0.812796,0.444385,0.84,0.865
14,0.483911,0.827014,0.416494,0.86,0.865
15,0.509085,0.777251,0.412813,0.88,0.88
16,0.494616,0.822275,0.441182,0.8525,0.88
17,0.484229,0.834123,0.418269,0.8675,0.88
18,0.487665,0.817536,0.427031,0.8575,0.88
19,0.489046,0.808057,0.435126,0.8475,0.88
20,0.460038,0.848341,0.441447,0.85,0.88
21,0.497021,0.796209,0.426808,0.8525,0.88
22,0.510467,0.78436,0.418502,0.865,0.88
23,0.457401,0.853081,0.42912,0.855,0.88
24,0.489941,0.808057,0.439499,0.8525,0.88
25,0.510303,0.791469,0.442822,0.8425,0.88
26,0.499118,0.793839,0.415434,0.8725,0.88
27,0.470849,0.824645,0.42604,0.8575,0.88
28,0.49466,0.798578,0.420137,0.87,0.88
29,0.477825,0.815166,0.431134,0.855,0.88
30,0.501878,0.803318,0.444335,0.8425,0.88
